Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|4.5|403|03/01/2022|0
Barajevo|4.5|404|04/01/2022|0
Barajevo|4.5|405|05/01/2022|0
Barajevo|4.5|406|06/01/2022|0
Barajevo|4.5|407|07/01/2022|0
Barajevo|4.5|408|08/01/2022|0
Barajevo|4.5|409|09/01/2022|0
Barajevo|4.5|410|10/01/2022|0
Barajevo|4.5|411|11/01/2022|0
Barajevo|4.5|412|12/01/2022|0
Barajevo|4.5|501|01/01/2023|0
Barajevo|4.5|502|02/01/2023|0
Barajevo|4.5|503|03/01/2023|0
Barajevo|4.5|504|04/01/2023|0
Barajevo|4.5|505|05/01/2023|0
Barajevo|4.5|506|06/01/2023|0
Barajevo|5|001|01/01/2018|379.81
Barajevo|5|002|02/01/2018|379.81
Barajevo|5|003|03/01/2018|0
Barajevo|5|004|04/01/2018|450
Barajevo|5|005|05/01/2018|450
Barajevo|5|006|06/01/2018|409.31500000000005
Barajevo|5|007|07/01/2018|450
Barajevo|5|008|08/01/2018|450
Barajevo|5|009|09/01/2018|421.08000000000004
Barajevo|5|010|10/01/2018|404.77333333333337
Barajevo|5|011|11/01/2018|430
Barajevo|5|012|12/01/2018|430
Barajevo|5|101|01/01/2019|398.7366666666667
Barajevo|5|102|02/01/2019|383.105
Barajevo|5|103|03/01/2019|0
Barajevo|5|104|04/01/2019|326.92
Barajevo|5|105|05/01/2019|326.92
Barajevo|5|106|06/01/2019|336.21
Barajevo|5|107|07/01/2019|336.21
Barajevo|5|108|08/01/2019|334.015
Barajevo|5|109|09/01/2019|334.015
Barajevo|5|110|10/01/2019|235.51
Barajevo|5|111|11/01/2019|285.86
Barajevo|5|112|12/01/2019|336.21
Barajevo|5|201|01/01/2020|336.21
Barajevo|5|202|02/01/2020|336.21
Barajevo|5|203|03/01/2020|336.21
Barajevo|5|204|04/01/2020|0
Barajevo|5|205|05/01/2020|288.36
Barajevo|5|206|06/01/2020|388.21
Barajevo|5|207|07/01/2020|368.34000000000003
